Category,Title,URL
,Mädchen,https://suche.machs-auf.at/sign/40530
,Bub,https://suche.machs-auf.at/sign/60088
,Partner,https://suche.machs-auf.at/sign/27334
,Freund,https://suche.machs-auf.at/sign/22158
,Familie,https://suche.machs-auf.at/sign/22032
,"verheiratet, Ehe-…",https://suche.machs-auf.at/sign/19596
,getrennt,https://suche.machs-auf.at/sign/31465
,geschieden,https://suche.machs-auf.at/sign/60362
,Single,https://suche.machs-auf.at/sign/27088
,Freund,https://suche.machs-auf.at/sign/40531
,die Eltern,https://suche.machs-auf.at/sign/60223
,der Papa,https://suche.machs-auf.at/sign/64236
,die Mama,https://suche.machs-auf.at/sign/63258
,die Tochter,https://suche.machs-auf.at/sign/19568
,der Sohn,https://suche.machs-auf.at/sign/19501
,Zwilling,https://suche.machs-auf.at/sign/41511
,"Bruder, Schwester (anderes Mundbild!)",https://suche.machs-auf.at/sign/20350
,die Oma,https://suche.machs-auf.at/sign/63864
,der Opa,https://suche.machs-auf.at/sign/63888
,die Tante,https://suche.machs-auf.at/sign/64164
,der Onkel,https://suche.machs-auf.at/sign/63899
,"Schwager, Schwieger-…",https://suche.machs-auf.at/sign/63735
,Stief,https://suche.machs-auf.at/sign/71311
,Homosexuell,https://suche.machs-auf.at/sign/91381
,schwul,https://suche.machs-auf.at/sign/25924
,lesbisch,https://suche.machs-auf.at/sign/25016
,hetero,https://suche.machs-auf.at/sign/24457
,adoptiv-,https://suche.machs-auf.at/sign/90258
,wohnen,https://suche.machs-auf.at/sign/69081
Interjektionen,Baff,https://suche.machs-auf.at/sign/36925
,echt,https://suche.machs-auf.at/sign/34012
,cool,https://suche.machs-auf.at/sign/84850
,interessant,https://suche.machs-auf.at/sign/22737
,"da (Ort, existent)",https://suche.machs-auf.at/sign/43650
Zahlen/Nummern,"Zahl, Zahlen",https://suche.machs-auf.at/sign/26702
,1,https://suche.machs-auf.at/sign/30506
,2,https://suche.machs-auf.at/sign/30507
,4,https://suche.machs-auf.at/sign/30509
,6,https://suche.machs-auf.at/sign/30511
,10,https://suche.machs-auf.at/sign/30515
,11,https://suche.machs-auf.at/sign/55671
,12,https://suche.machs-auf.at/sign/46393
,13,https://suche.machs-auf.at/sign/46285
,16,https://suche.machs-auf.at/sign/30536
,20,https://suche.machs-auf.at/sign/54774
,21,https://suche.machs-auf.at/sign/55917
,22,https://suche.machs-auf.at/sign/31335
,100,https://suche.machs-auf.at/sign/31336
,1000,https://suche.machs-auf.at/sign/40553
,(zu)erst,https://suche.machs-auf.at/sign/69630
Zeit,Zeit,https://suche.machs-auf.at/sign/62941
,früher,https://suche.machs-auf.at/sign/18629
,vor kurzem,https://suche.machs-auf.at/sign/54445
,gestern,https://suche.machs-auf.at/sign/30570
,(in der) Früh,https://suche.machs-auf.at/sign/60808
,heute,https://suche.machs-auf.at/sign/22577
,"Mittag, mittags",https://suche.machs-auf.at/sign/59084
,jetzt,https://suche.machs-auf.at/sign/61810
,Abend,https://suche.machs-auf.at/sign/30252
,morgen,https://suche.machs-auf.at/sign/19414
,Zukunft,https://suche.machs-auf.at/sign/46964
Fragewörter 2,wann,https://suche.machs-auf.at/sign/63028
,wie lange,https://suche.machs-auf.at/sign/95841
,warum,https://suche.machs-auf.at/sign/63055
,wie alt (anderes Mundbild+Mimik!),https://suche.machs-auf.at/sign/21726
Kommunikations-Basics 3,achso,https://suche.machs-auf.at/sign/95306
,gleich,https://suche.machs-auf.at/sign/69440
,auch,https://suche.machs-auf.at/sign/59961
,anders,https://suche.machs-auf.at/sign/35048
Tagesablauf,schlafen,https://suche.machs-auf.at/sign/30693
,aufwachen,https://suche.machs-auf.at/sign/33577
,aufstehen,https://suche.machs-auf.at/sign/21090
,Kaffee( trinken),https://suche.machs-auf.at/sign/25161
,Frühstück,https://suche.machs-auf.at/sign/69826
,essen,https://suche.machs-auf.at/sign/30692
,Zähne-putzen,https://suche.machs-auf.at/sign/85193
,duschen,https://suche.machs-auf.at/sign/66075
,Uni,https://suche.machs-auf.at/sign/86729
,gehen (zu Fuß),https://suche.machs-auf.at/sign/59754
,fahren (Auto),https://suche.machs-auf.at/sign/33729
,Straßenbahn,https://suche.machs-auf.at/sign/67403
,der Bus,https://suche.machs-auf.at/sign/18366
,das Moped,https://suche.machs-auf.at/sign/19412
,das Motorrad,https://suche.machs-auf.at/sign/63381
,sitzen,https://suche.machs-auf.at/sign/63965
,zuhören,https://suche.machs-auf.at/sign/40622
,schauen,https://suche.machs-auf.at/sign/63643
,schreiben,https://suche.machs-auf.at/sign/29336
,arbeiten,https://suche.machs-auf.at/sign/46595
,unterrichten,https://suche.machs-auf.at/sign/41637
,lernen,https://suche.machs-auf.at/sign/19305
,studieren,https://suche.machs-auf.at/sign/89694
,Sport,https://suche.machs-auf.at/sign/64021
,einkaufen,https://suche.machs-auf.at/sign/21815
,schminken,https://suche.machs-auf.at/sign/28351
,Prüfung,https://suche.machs-auf.at/sign/64333
,treffen,https://suche.machs-auf.at/sign/56376
,Glüh-(wein),https://suche.machs-auf.at/sign/33951
,(Glüh-)wein,https://suche.machs-auf.at/sign/62391
Zeit-Angaben,Woche (Vers. 1),https://suche.machs-auf.at/sign/69080
,Woche (Vers. 2),https://suche.machs-auf.at/sign/40537
,letzte...,https://suche.machs-auf.at/sign/54900
,nächste...,https://suche.machs-auf.at/sign/34333
,Tag,https://suche.machs-auf.at/sign/68940
,Montag,https://suche.machs-auf.at/sign/30253
,Dienstag,https://suche.machs-auf.at/sign/60166
,Mittwoch,https://suche.machs-auf.at/sign/63321
,Donnerstag,https://suche.machs-auf.at/sign/60171
,Freitag,https://suche.machs-auf.at/sign/60686
,Samstag,https://suche.machs-auf.at/sign/24749
,Sonntag,https://suche.machs-auf.at/sign/25248
,täglich,https://suche.machs-auf.at/sign/25508
,Früh,https://suche.machs-auf.at/sign/60808
,Spät,https://suche.machs-auf.at/sign/40624
,zu spät,https://suche.machs-auf.at/sign/70386
,knapp,https://suche.machs-auf.at/sign/91548
,schaffen,https://suche.machs-auf.at/sign/70125
,drei Uhr (Vers. 1),https://suche.machs-auf.at/sign/22772
,drei Uhr (Vers. 2),https://suche.machs-auf.at/sign/61883
,Uhrzeit,https://suche.machs-auf.at/sign/62677
,(ein) Viertel,https://suche.machs-auf.at/sign/34541
,halb,https://suche.machs-auf.at/sign/34296
,drei viertel…,https://suche.machs-auf.at/sign/23793
Kommunikation-Basics 4,verstehen,https://suche.machs-auf.at/sign/30272
,vergessen,https://suche.machs-auf.at/sign/24214
,merken,https://suche.machs-auf.at/sign/72160
,"wissen, das Wissen",https://suche.machs-auf.at/sign/34829
,nicht wissen (weiß nicht),https://suche.machs-auf.at/sign/37020
Eigenschaften,Farbe,https://suche.machs-auf.at/sign/60593
,rot,https://suche.machs-auf.at/sign/34946
,gelb,https://suche.machs-auf.at/sign/21864
,orange,https://suche.machs-auf.at/sign/63894
,grün,https://suche.machs-auf.at/sign/18829
,blau,https://suche.machs-auf.at/sign/20209
,lila,https://suche.machs-auf.at/sign/19313
,violett,https://suche.machs-auf.at/sign/66595
,rosa,https://suche.machs-auf.at/sign/67929
,schwarz,https://suche.machs-auf.at/sign/19477
,weiß,https://suche.machs-auf.at/sign/63156
,grau,https://suche.machs-auf.at/sign/21553
,dunkel,https://suche.machs-auf.at/sign/33989
,hell,https://suche.machs-auf.at/sign/61044
,weich,https://suche.machs-auf.at/sign/63153
,hart,https://suche.machs-auf.at/sign/18861
,heiß,https://suche.machs-auf.at/sign/22502
,kalt,https://suche.machs-auf.at/sign/19144
Kommunikation-Basics 5,die Sache,https://suche.machs-auf.at/sign/23130
,oder,https://suche.machs-auf.at/sign/63844
Natur/Pflanzen/Tiere,Maus,https://suche.machs-auf.at/sign/64654
,Schnecke,https://suche.machs-auf.at/sign/29151
,Schlange,https://suche.machs-auf.at/sign/68870
,Schildkröte,https://suche.machs-auf.at/sign/29149
,Frosch,https://suche.machs-auf.at/sign/64409
,Hase,https://suche.machs-auf.at/sign/44495
,Schmetterling,https://suche.machs-auf.at/sign/30788
,Fisch,https://suche.machs-auf.at/sign/29690
,Hund,https://suche.machs-auf.at/sign/22641
,Katze,https://suche.machs-auf.at/sign/19190
,Schwein,https://suche.machs-auf.at/sign/95708
,Kuh,https://suche.machs-auf.at/sign/19269
,Schaf,https://suche.machs-auf.at/sign/67946
,Huhn,https://suche.machs-auf.at/sign/64545
,Ente,https://suche.machs-auf.at/sign/25150
,Nadelbaum/Christbaum,https://suche.machs-auf.at/sign/65506
,Baum,https://suche.machs-auf.at/sign/20007
,Blatt,https://suche.machs-auf.at/sign/59564
,Blume,https://suche.machs-auf.at/sign/62874
,Gras/Wiese,https://suche.machs-auf.at/sign/21547
Verben,Beschreiben,https://suche.machs-auf.at/sign/22659
,Fragen (übereinstimmbar),https://suche.machs-auf.at/sign/40684
,Sagen,https://suche.machs-auf.at/sign/43659
,Sprechen (Sprechen Sie Deutsch?),https://suche.machs-auf.at/sign/48330
,Gebärden (Gebärden Sie bitte langsam.),https://suche.machs-auf.at/sign/48777
,Bescheid geben (übereinstimmbar),https://suche.machs-auf.at/sign/22656
,Erklären (übereinstimmbar),https://suche.machs-auf.at/sign/93089
,Zeigen (übereinstimmbar),https://suche.machs-auf.at/sign/42034
,Glauben,https://suche.machs-auf.at/sign/70272
,passen/es passt,https://suche.machs-auf.at/sign/25688
Richtungen,Links,https://suche.machs-auf.at/sign/24005
,Rechts,https://suche.machs-auf.at/sign/41571
Essen,Essen,https://suche.machs-auf.at/sign/30692
,Vegan,https://suche.machs-auf.at/sign/16811
,Vegetarisch,https://suche.machs-auf.at/sign/28671
,Fleisch,https://suche.machs-auf.at/sign/67336
,Pute,https://suche.machs-auf.at/sign/71171
,Flexibel,https://suche.machs-auf.at/sign/43039
,Brot,https://suche.machs-auf.at/sign/20341
,Semmel,https://suche.machs-auf.at/sign/68890
,Nudeln,https://suche.machs-auf.at/sign/28661
